ID_CommunityIdentity;ID_CommunityIdentityConnectedTo;ID_CommunityConnectionType
20882;505942;2
20882;506316;2
20882;506775;2
20882;507646;2
20882;509166;2
20882;511890;2
20882;514403;2
20882;514525;2
20882;516017;2
20882;519140;2
20882;527174;2
20882;527181;2
20882;528013;2
20882;528225;2
20882;531626;2
20882;533127;2
20882;534390;2
20882;541122;2
20882;541665;2
20882;543994;2
20882;545580;2
20882;545586;2
20882;545822;2
20882;547223;2
20882;548390;2
20882;548622;2
20882;551403;2
20882;554287;2
20882;554399;2
20882;557259;2
20882;560726;2
20882;561204;2
20882;564382;2
20882;565297;2
20882;566287;2
20882;566404;2
20882;568836;2
20882;568867;2
20882;570174;2
20882;570388;2
20882;573336;2
20882;578525;2
20882;580625;2
20882;580958;2
20882;581219;2
20882;581221;2
20882;583086;2
20882;584902;2
20882;586597;2
20882;590087;2
20882;600252;2
20882;601885;2
20882;602349;2
20882;603166;2
20882;604831;2
20882;605829;2
20882;607160;2
20882;607807;2
20882;608649;2
20882;629352;2
20882;632891;2
20882;633485;2
20882;633967;2
20882;634656;2
1782;49137;1
1782;507774;1
2273;2273;1
2273;13770;1
2273;25633;1
2273;43319;1
2273;44584;1
2273;51918;1
2273;114285;1
2273;132209;1
2273;132568;1
2273;137790;1
2273;155072;1
2273;176745;1
2273;186684;1
2273;224497;1
2273;226280;1
2273;309385;1
2273;317937;1
2273;499358;1
2273;499906;2
2273;506657;1
2273;509522;1
2273;546752;1
2273;547688;1
2273;568535;1
2273;601700;1
2273;603329;1
2273;633144;1
2273;636462;1
2273;666154;1
5460;522766;2
5460;568415;2
7664;7664;1
7664;60979;1
7664;94855;1
7664;137950;1
7664;184982;1
7664;231623;1
7664;506757;1
9538;121814;1
9538;531158;1
9538;654549;1
15911;10871;2
15911;11498;2
15911;32008;1
15911;38837;2
15911;40876;2
15911;115879;2
15911;170263;2
15911;235179;2
15911;239292;1
15911;508485;2
15911;526391;2
20257;2820;2
20257;6602;2
20257;14647;2
20257;18537;2
20257;22695;2
20257;26627;2
20257;27470;2
20257;28812;2
20257;30457;2
20257;30911;2
20257;44980;2
20257;49126;2
20257;54010;2
20257;55016;2
20257;55806;2
20257;58186;2
20257;64124;2
20257;71141;2
20257;83463;2
20257;98033;2
20257;106357;2
20257;115463;2
20257;115749;2
20257;119887;2
20257;140123;2
20257;150739;2
20257;151141;2
20257;154485;2
20257;165633;2
20257;168537;2
20257;172357;2
20257;176874;2
20257;184943;2
20257;185403;2
20257;188223;2
20257;188652;2
20257;191336;2
20257;203973;2
20257;204211;2
20257;207696;2
20257;209287;2
20257;217212;2
20257;219450;2
20257;226755;2
20257;228825;2
20257;240843;2
20257;331794;2
20257;500019;2
20257;501007;2
20257;501644;2
20257;501798;2
20257;502216;2
20257;503001;2
20257;507222;2
20257;509696;2
20257;512243;2
20257;512315;2
20257;512341;2
20257;513781;2
20257;514962;2
20257;515635;2
20257;518647;2
20257;518868;2
20257;525222;2
20257;525643;2
20257;527290;1
20257;527997;2
20257;532918;2
20257;533478;2
20257;534301;2
20257;536826;2
20257;543372;2
20257;544595;2
20257;547281;2
20257;548513;2
20257;548641;2
20257;549842;2
20257;561652;2
20257;561776;2
20257;562036;2
20257;563061;2
20257;564003;2
20257;568460;2
20257;569212;2
20257;570550;2
20257;571425;2
20257;571524;2
20257;573037;2
20257;573201;2
20257;573469;2
20257;573861;2
20257;575173;2
20257;577560;2
20257;578353;2
20257;579736;2
20257;579846;2
20257;580659;2
20257;580731;2
20257;580812;2
20257;581271;2
20257;582098;2
20257;584787;2
20257;587235;2
20257;587439;2
20257;588511;2
20257;589970;2
20257;590087;2
20257;601488;2
20257;603760;2
20257;605602;2
20257;605953;2
20257;607160;2
20257;608925;2
20257;630308;2
20257;631153;2
20257;631414;2
20257;631813;2
20257;632610;2
20257;633215;2
20257;633941;2
20257;634012;2
20257;634488;2
20257;634584;2
20257;634668;2
20257;635288;2
20257;636201;2
20257;636462;2
20257;637560;2
20257;638264;2
20257;639002;2
20257;639644;2
20257;640123;2
20257;651082;2
20257;651572;2
20257;651722;2
20257;666064;2
20257;666154;2
20257;668509;2
20257;669644;2
20257;669955;2
20257;671203;2
20257;671401;2
20257;680320;2
20257;684426;2
20257;686372;2
20534;20534;1
20700;20700;1
21663;34243;1
21663;37249;1
21663;249582;1
5006;5006;1
6101;226002;2
6410;515039;1
6637;584691;1
8318;8318;1
9309;37147;2
9309;40139;2
9309;44420;2
9309;51625;2
9309;57085;2
9309;58849;2
9309;73860;2
9309;94507;2
9309;132438;2
9309;183504;2
9309;185403;2
9309;193754;2
9309;214377;2
9309;233529;2
9309;499613;2
9309;499700;2
9309;501871;2
9309;502216;2
9309;503395;2
9309;505950;2
9309;513678;2
9309;516802;2
9309;521362;2
9309;553379;2
9309;554350;2
9309;574978;2
9309;575787;2
9309;576049;2
9309;579244;2
9309;586297;2
9309;586365;2
9309;589056;2
9309;600389;2
9309;601254;2
9309;602824;2
9309;605993;2
9309;608041;2
9309;608649;2
9309;630089;2
9309;634668;2
9309;634887;2
9309;639644;2
9309;670102;2
9309;672544;2
9309;677156;2
9309;678310;2
9309;680447;2
13498;507280;1
13498;578728;2
13498;602824;2
13498;670102;2
13689;20373;2
13689;48469;2
13689;499367;2
13689;503020;2
13689;508710;2
13689;553371;2
13689;554287;2
18010;18010;1
18044;519657;1
22081;1238;2
22081;8036;2
22081;16074;2
22081;28392;2
22081;35391;2
22081;40145;2
22081;44420;2
22081;49251;2
22081;49787;2
22081;50299;2
22081;52261;1
22081;52261;2
22081;53014;2
22081;55023;2
22081;56368;2
22081;63283;2
22081;63477;2
22081;72114;2
22081;80248;2
22081;99915;2
22081;102090;2
22081;111373;2
22081;115317;2
22081;117560;2
22081;117768;2
22081;118117;2
22081;123988;2
22081;126395;2
22081;133950;2
22081;144333;2
22081;151141;2
22081;151943;2
22081;156313;2
22081;164914;2
22081;167088;2
22081;172357;2
22081;184040;2
22081;189025;2
22081;191311;2
22081;193074;2
22081;201096;2
22081;206858;2
22081;210946;2
22081;211794;2
22081;211843;2
22081;219180;2
22081;225037;2
22081;235762;2
22081;238047;2
22081;238074;2
22081;243450;2
22081;328281;2
22081;499367;2
22081;500195;2
22081;500469;2
22081;500623;2
22081;501330;2
22081;503020;2
22081;504377;2
22081;504846;2
22081;505384;2
22081;507006;2
22081;507447;2
22081;514403;2
22081;516017;2
22081;517687;2
22081;521235;2
22081;521484;2
22081;523077;2
22081;525481;2
22081;528013;2
22081;535279;2
22081;535749;2
22081;541665;2
22081;541767;2
22081;547680;2
22081;548147;2
22081;548641;2
22081;554327;2
22081;562604;2
22081;563863;2
22081;564156;2
22081;564450;2
22081;565297;2
22081;566404;2
22081;566606;2
22081;570388;2
22081;579842;2
22081;582175;2
22081;584008;2
22081;585227;2
22081;600252;2
22081;601376;2
22081;601885;2
22081;602260;2
22081;605953;2
22081;632660;2
22081;633260;2
22081;634656;2
22081;638656;2
22081;639830;1
22081;639830;2
22081;652928;2
22081;692098;2
23683;23214;1
23683;80635;1
24128;8036;1
24128;24128;1
24128;30731;1
24128;68191;1
24128;91832;1
24128;204200;1
24128;236690;1
24128;499212;1
24128;503180;1
24128;524789;1
24128;534531;1
24128;558183;1
24128;558869;1
24128;569757;1
24128;682056;1
28804;28804;1
28804;165190;1
28804;196647;1
28804;553878;1
28804;631813;1
28804;632755;2
29301;588836;1
30980;689558;1
30980;693763;1
31373;1782;1
31373;26373;1
31373;37249;1
31373;41961;1
31373;72867;2
31373;126369;1
31373;152499;1
31373;224497;1
31373;570693;1
2177;2177;1
2177;502721;1
2177;519657;1
10051;10051;1
10051;59413;1
10051;132752;1
11320;37249;1
11320;91850;1
11320;196753;1
11320;224754;1
11320;667617;1
13359;13359;1
13477;37249;1
13477;204782;1
13477;208655;1
14996;170689;1
14996;539522;1
16435;16435;1
16500;16500;1
20647;80248;1
20647;196753;1
21179;1354;1
21179;1782;1
21179;4066;1
21179;6128;1
21179;47944;1
21179;50812;1
21179;51137;1
21179;53869;1
21179;59327;1
21179;64217;1
21179;72741;1
21179;74674;1
21179;84963;1
21179;89306;1
21179;94367;1
21179;106184;1
21179;111628;1
21179;130290;1
21179;137790;1
21179;139002;1
21179;144948;1
21179;156643;1
21179;170364;1
21179;176252;1
21179;181539;1
21179;183395;1
21179;185230;1
21179;193947;1
21179;206082;1
21179;207324;1
21179;217277;1
21179;249578;1
21179;499216;1
21179;499307;1
21179;499569;1
21179;501035;1
21179;502038;1
21179;509279;1
21179;509968;1
21179;514662;1
21179;525936;1
21179;526088;1
21179;530221;1
21179;530512;1
21179;530624;1
21179;532144;1
21179;539631;1
21179;546956;1
21179;547777;1
21179;548592;1
21179;556854;1
21179;558329;1
21179;560866;1
21179;565645;1
21179;570130;1
21179;571532;1
21179;577096;1
21179;580244;1
21179;586365;1
21179;586763;1
21179;603668;1
21179;604940;1
21179;607903;1
21179;629233;1
21179;635123;1
21179;637349;1
21179;637667;1
21179;638805;1
21179;652108;1
21179;654549;1
21179;655727;1
21179;665911;1
21179;669623;1
21179;676476;1
21179;677865;1
21179;677906;1
21179;678509;1
21179;681721;1
21179;686755;1
21179;687151;1
21180;20007;2
21180;65347;1
21180;511038;2
21180;534105;2
21180;554287;2
21180;681582;2
22552;22552;1
22552;220348;1
27632;10741;1
27632;59327;1
27632;81444;2
27632;101436;2
27632;105919;1
27632;150745;1
27632;185403;2
27632;195763;1
27632;230094;1
27632;248515;1
27632;545405;2
27632;545586;2
27632;573201;2
27632;579586;1
27632;581206;2
27632;589369;2
27632;605953;2
27632;632699;1
27632;636447;2
27632;670102;2
27632;672715;2
27632;673389;2
27632;676028;2
27632;683589;2
27632;684611;2
27632;686971;2
27632;689223;2
27632;690671;2
27632;693995;2
27967;45964;1
27967;54298;1
27967;60362;1
27967;162078;1
27967;196753;1
27967;225324;1
27967;580733;1
29486;63493;2
29486;137950;1
29486;162967;2
29486;171511;2
29486;174519;2
29486;205953;2
29486;245901;2
29486;535169;2
29486;536867;2
29486;606617;2
29486;686050;1
30507;472;2
30507;6835;2
30507;11127;2
30507;20373;2
30507;21645;2
30507;30457;2
30507;44420;2
30507;48799;2
30507;51140;2
30507;51425;2
30507;55016;2
30507;61341;2
30507;76577;2
30507;94156;2
30507;103070;2
30507;120014;2
30507;135214;2
30507;172357;2
30507;173814;2
30507;182676;2
30507;184071;2
30507;190497;2
30507;193428;2
30507;201096;2
30507;213679;2
30507;228279;2
30507;317761;2
30507;499700;2
30507;500195;2
30507;501871;2
30507;502943;2
30507;505145;2
30507;511146;2
30507;514403;2
30507;514480;2
30507;524528;2
30507;525222;2
30507;533580;2
30507;534105;2
30507;536890;2
30507;538958;2
30507;539179;2
30507;539866;2
30507;545638;2
30507;548164;2
30507;554287;2
30507;554350;2
30507;566570;2
254;254;1
254;116452;1
254;137950;1
254;530137;1
254;579004;1
4255;505942;1
6095;90208;1
8624;8624;1
10339;22680;2
10339;30457;2
10339;44420;2
10339;55016;2
10339;180963;2
10339;190254;2
10339;204471;2
10339;501871;2
10339;513688;2
10339;566570;2
10339;589056;2
10339;602199;2
12636;30325;1
12636;74239;1
12636;115878;1
12636;117656;1
12636;240312;1
12636;506944;1
12636;519657;1
12636;535749;2
12636;554399;1
12636;655569;1
12636;690019;2
16030;4894;1
16030;64256;1
16030;227578;1
16030;543453;1
16030;655655;1
20799;554822;1
20799;563736;1
20799;679247;1
21010;21010;1
22414;32175;1
22414;59413;1
22414;183504;1
22414;238163;1
22414;513631;1
23214;35975;2
23214;74670;2
23214;169493;2
23214;176518;2
23214;179933;2
23214;501782;2
23214;511038;2
23214;515725;2
23214;525671;2
23214;541888;2
23214;556508;2
23214;565241;2
23214;581219;2
23214;584349;2
23214;600270;2
23214;604589;2
23214;608312;2
23214;640781;2
23214;665912;2
23214;672117;2
23214;689145;2
27058;41539;1
27058;542798;1
31570;31570;1
31588;538574;1
37061;37061;1
37147;37147;1
37147;573237;2
38190;13498;1
38190;13770;1
38190;18444;2
38190;33488;1
38190;51570;1
38190;63662;1
38190;71691;1
38190;107337;1
38190;109180;1
38190;112030;1
38190;131910;1
38190;144642;1
38190;153665;1
38190;165305;1
38190;167430;1
38190;167776;1
38190;171323;1
38190;174925;1
38190;176252;1
38190;194875;1
38190;207112;1
38190;220624;1
38190;223409;1
38190;233503;1
38190;234474;1
38190;309377;1
38190;502658;1
38190;504301;1
38190;517614;1
38190;527346;1
38190;536001;1
38190;537794;1
38190;542038;1
38190;545302;1
38190;553669;1
38190;579607;1
38190;580423;1
38190;582531;1
38190;634042;1
38701;51918;1
38701;97216;1
38701;529854;1
40398;215275;1
40398;217212;1
40398;638264;1
41516;95254;1
41516;528195;1
41584;41584;1
41584;118117;2
43270;26559;1
46764;52753;1
46764;519657;1
46764;522534;1
46764;587129;1
46796;116452;1
49097;51140;1
49497;3706;1
49497;6293;1
49497;8532;1
49497;9206;1
49497;21180;1
49497;21965;1
49497;24658;1
49497;26385;1
49497;30223;1
49497;30733;1
49497;31503;1
49497;35578;1
49497;37346;1
49497;51140;1
49497;55806;1
49497;56148;1
49497;58600;1
49497;60514;1
49497;72071;1
49497;77583;1
49497;85523;1
49497;87685;1
49497;95224;1
49497;101692;1
49497;105454;1
49497;115878;1
49497;116196;1
49497;118721;1
49497;124124;1
49497;130633;1
49497;131910;1
49497;132209;1
49497;135378;1
49497;137950;1
49497;139071;1
49497;144165;1
49497;155364;1
49497;155723;1
49497;161881;1
49497;165384;1
49497;169213;1
49497;170029;1
49497;172800;1
49497;174319;1
49497;177024;1
49497;178649;1
49497;180075;1
49497;181594;1
49497;182809;1
49497;183344;1
49497;184470;1
49497;191985;1
49497;194875;1
49497;196377;1
49497;202386;1
49497;208696;1
49497;215275;1
49497;218671;1
49497;221985;1
49497;224071;1
49497;224317;1
49497;226188;1
49497;227468;1
49497;232992;1
49497;233673;1
49497;234734;1
49497;236460;1
49497;237654;1
49497;238226;1
49497;245964;1
49497;499205;1
49497;500110;1
49497;500517;1
49497;501428;1
49497;503020;1
4139;193910;1
6454;137814;1
6454;242371;1
6454;519657;1
6454;545965;1
8008;8008;1
8008;43017;1
8008;157699;1
8008;214341;1
8008;239841;1
8008;519657;1
9194;86973;1
9194;150179;1
9194;175843;1
9194;224830;1
9194;226524;1
9194;519657;1
9194;526391;1
9194;558082;1
9194;582098;1
9194;651682;1
10705;7350;2
10705;10978;2
10705;21189;2
10705;26373;1
10705;26534;2
10705;31324;2
10705;49126;2
10705;51144;2
10705;71741;2
10705;72656;2
10705;78917;2
10705;85368;2
10705;85518;2
10705;103217;2
10705;118499;2
10705;128196;2
10705;130254;2
10705;130437;2
10705;131488;2
10705;167449;2
10705;169493;2
10705;172385;2
10705;190254;2
10705;192259;2
10705;212394;2
10705;218450;2
10705;223076;2
10705;224713;2
10705;239194;2
10705;240572;2
10705;245317;2
10705;499562;2
10705;499840;2
10705;502218;2
10705;507447;2
10705;514849;2
10705;515748;2
10705;516173;2
10705;517532;2
10705;520416;2
10705;522241;2
10705;522710;2
10705;524311;2
10705;534185;2
10705;540897;2
10705;540945;2
10705;545327;2
10705;550397;1
10705;550660;2
10705;551427;2
10705;556017;2
10705;559143;2
10705;561652;2
10705;564003;2
10705;565241;2
10705;566570;2
10705;568415;2
10705;572502;2
10705;572922;2
10705;573861;2
10705;583231;2
10705;586078;2
10705;589029;2
10705;605061;2
10705;606175;2
10705;607903;2
10705;630187;2
10705;633296;2
10705;635302;2
10705;652108;2
10705;665847;2
10705;666563;2
10705;669955;2
10705;674106;2
10705;678231;2
10705;683661;2
10705;683731;2
10705;691070;2
14860;83921;1
14860;204890;1
14860;205842;1
14860;206858;1
14860;607903;1
16096;37249;1
16096;70878;1
17575;4894;1
17575;37249;1
17575;182281;1
17575;502721;1
17575;519657;1
17575;541646;1
17575;638533;2
17575;652259;2
21601;37249;1
21601;88156;2
21601;215275;1
22062;179108;1
22062;205842;1
22062;551061;1
22062;557246;1
22205;153887;1
22698;37708;2
22698;41383;2
22698;103423;2
22698;107020;2
22698;107517;2
22698;118117;2
22698;172325;2
22698;201096;2
22698;234718;2
22698;332203;2
22698;499367;2
22698;500722;2
22698;514403;2
22698;528013;2
22698;548147;2
22698;552156;1
22698;553375;2
22698;554287;2
22698;554327;2
22698;555871;2
22698;568263;2
22698;586058;2
22698;631891;2
22698;673496;2
22698;686279;2
24309;24309;1
24613;174705;1
26649;137950;1
28621;117568;2
28707;20447;2
28707;514403;2
31983;31983;1
31983;49278;1
31983;94033;1
31983;143951;1
31983;500189;1
31983;510972;1
33126;514238;1
33126;586297;1
37013;116452;1
37013;517423;1
43411;59242;1
43411;196753;1
43411;518215;1
43411;548147;1
45669;519657;1
47848;13120;1
47848;47848;1
47848;87375;1
47848;107041;1
47848;544504;1
51778;169493;2
51778;499873;2
51778;575173;2
51778;640547;2
54993;37249;1
54993;54993;1
54993;153870;1
54993;156577;1
54993;159867;1
54993;227120;1
54993;499475;1
54993;527290;1
55104;55104;1
56715;37249;1
57551;49441;1
