:START_ID,:END_ID
u20447,u37708
u20447,u43775
u20447,u63799
u20447,u72114
u20447,u92007
u20447,u116864
u20447,u117404
u20447,u118117
u20447,u128078
u20447,u137129
u20447,u150739
u20447,u175621
u20447,u245310
u20447,u526006
u20447,u528013
u20447,u530731
u20447,u535749
u20447,u548147
u20447,u554327
u20447,u559659
u20447,u561597
u20447,u564156
u20447,u568263
u20447,u569699
u20447,u572131
u20447,u576426
u20447,u579842
u20447,u579985
u20447,u586124
u20447,u589032
u20447,u605418
u20447,u605953
u20447,u607907
u20447,u633260
u20447,u635122
u20447,u638485
u20447,u639830
u20447,u669570
u20447,u678196
u20447,u689274
u20447,u690685
u20447,u691182
u20447,u692312
u20447,u692535
u20447,u692816
u20447,u693797
u20847,u8545
u20847,u28392
u20847,u40022
u20847,u44201
u20847,u49126
u20847,u49444
u20847,u52128
u20847,u52261
u20847,u53014
u20847,u57962
u20847,u59588
u20847,u71278
u20847,u72867
u20847,u75189
u20847,u76577
u20847,u84211
u20847,u90151
u20847,u94788
u20847,u103789
u20847,u106004
u20847,u117768
u20847,u137185
u20847,u143035
u20847,u150739
u20847,u167646
u20847,u170263
u20847,u172357
u20847,u177299
u20847,u178422
u20847,u189074
u20847,u189476
u20847,u190900
u20847,u206812
u20847,u220003
u20847,u221305
u20847,u222643
u20847,u226755
u20847,u235534
u20847,u236358
u20847,u248304
u20847,u317761
u20847,u324635
u20847,u499613
u20847,u499700
u20847,u500425
u20847,u500861
u20847,u501015
u20847,u501330
u20847,u501428
u20847,u501782
u20847,u503908
u20847,u504463
u20847,u506914
u20847,u513014
u20847,u513829
u20847,u523951
u20847,u527154
u20847,u528633
u20847,u528758
u20847,u529323
u20847,u536050
u20847,u536826
u20847,u540551
u20847,u541297
u20847,u544506
u20847,u544942
u20847,u548363
u20847,u549151
u20847,u549240
u20847,u555591
u20847,u562624
u20847,u563452
u20847,u566270
u20847,u568655
u20847,u569699
u20847,u570931
u20847,u571425
u20847,u572120
u20847,u574677
u20847,u577328
u20847,u577332
u20847,u579244
u20847,u579588
u20847,u580730
u20847,u581271
u20847,u581524
u20847,u582098
u20847,u583231
u20847,u583394
u20847,u586068
u20847,u586365
u20847,u587830
u20847,u588391
u20847,u588652
u20847,u589057
u20847,u589361
u20847,u589603
u20847,u589629
u20847,u589970
u20847,u590087
u20847,u600283
u20847,u601189
u20847,u601700
u20847,u603760
u20847,u605165
u20847,u605500
u20847,u605791
u20847,u605953
u20847,u606337
u20847,u629450
u20847,u630120
u20847,u631228
u20847,u632268
u20847,u633296
u20847,u633941
u20847,u634111
u20847,u634783
u20847,u635497
u20847,u635804
u20847,u639730
u20847,u639906
u20847,u640737
u20847,u640868
u20847,u651621
u20847,u652709
u15801,u37708
u15801,u44420
u15801,u90208
u15801,u116864
u15801,u147131
u15801,u201096
u15801,u517212
u15801,u548147
u15801,u573244
u15801,u581219
u15801,u589777
u15801,u602824
u15801,u633532
u15801,u687518
u20882,u4006
u20882,u7952
u20882,u10192
u20882,u10992
u20882,u20373
u20882,u22680
u20882,u28392
u20882,u29444
u20882,u41062
u20882,u43641
u20882,u43683
u20882,u43775
u20882,u44420
u20882,u45892
u20882,u49618
u20882,u51468
u20882,u53010
u20882,u53014
u20882,u54508
u20882,u55023
u20882,u55887
u20882,u60804
u20882,u63226
u20882,u63392
u20882,u69671
u20882,u71313
u20882,u83046
u20882,u88548
u20882,u97204
u20882,u97532
u20882,u101681
u20882,u107329
u20882,u110333
u20882,u116864
u20882,u117560
u20882,u119748
u20882,u120014
u20882,u120161
u20882,u125092
u20882,u128059
u20882,u128733
u20882,u133175
u20882,u136257
u20882,u137129
u20882,u138619
u20882,u143951
u20882,u155433
u20882,u160247
u20882,u165885
u20882,u167183
u20882,u167277
u20882,u172325
u20882,u173727
u20882,u175922
u20882,u176164
u20882,u176534
u20882,u178125
u20882,u182345
u20882,u182876
u20882,u189573
u20882,u191281
u20882,u196039
u20882,u204447
u20882,u207112
u20882,u208272
u20882,u210819
u20882,u210851
u20882,u211583
u20882,u214078
u20882,u233730
u20882,u233762
u20882,u243177
u20882,u249578
u20882,u254568
u20882,u324635
u20882,u337826
u20882,u499281
u20882,u499367
u20882,u499562
u20882,u499856
u20882,u500152
u20882,u500511
u20882,u501657
u20882,u501931
u20882,u505942
u20882,u506316
u20882,u506775
u20882,u507646
u20882,u509166
u20882,u511890
u20882,u514403
u20882,u514525
u20882,u516017
u20882,u519140
u20882,u527174
u20882,u527181
u20882,u528013
u20882,u528225
u20882,u531626
u20882,u533127
u20882,u534390
u20882,u541122
u20882,u541665
u20882,u543994
u20882,u545580
u20882,u545586
u20882,u545822
u20882,u547223
u20882,u548390
u20882,u548622
u20882,u551403
u20882,u554287
u20882,u554399
u20882,u557259
u20882,u560726
u20882,u561204
u20882,u564382
u20882,u565297
u20882,u566287
u20882,u566404
u20882,u568836
u20882,u568867
u20882,u570174
u20882,u570388
u20882,u573336
u20882,u578525
u20882,u580625
u20882,u580958
u20882,u581219
u20882,u581221
u20882,u583086
u20882,u584902
u20882,u586597
u20882,u590087
u20882,u600252
u20882,u601885
u20882,u602349
u20882,u603166
u20882,u604831
u20882,u605829
u20882,u607160
u20882,u607807
u20882,u608649
u20882,u629352
u20882,u632891
u20882,u633485
u20882,u633967
u20882,u634656
u2273,u499906
u5460,u522766
u5460,u568415
u15911,u10871
u15911,u11498
u15911,u38837
u15911,u40876
u15911,u115879
u15911,u170263
u15911,u235179
u15911,u508485
u15911,u526391
u20257,u2820
u20257,u6602
u20257,u14647
u20257,u18537
u20257,u22695
u20257,u26627
u20257,u27470
u20257,u28812
u20257,u30457
u20257,u30911
u20257,u44980
u20257,u49126
u20257,u54010
u20257,u55016
u20257,u55806
u20257,u58186
u20257,u64124
u20257,u71141
u20257,u83463
u20257,u98033
u20257,u106357
u20257,u115463
u20257,u115749
u20257,u119887
u20257,u140123
u20257,u150739
u20257,u151141
u20257,u154485
u20257,u165633
u20257,u168537
u20257,u172357
u20257,u176874
u20257,u184943
u20257,u185403
u20257,u188223
u20257,u188652
u20257,u191336
u20257,u203973
u20257,u204211
u20257,u207696
u20257,u209287
u20257,u217212
u20257,u219450
u20257,u226755
u20257,u228825
u20257,u240843
u20257,u331794
u20257,u500019
u20257,u501007
u20257,u501644
u20257,u501798
u20257,u502216
u20257,u503001
u20257,u507222
u20257,u509696
u20257,u512243
u20257,u512315
u20257,u512341
u20257,u513781
u20257,u514962
u20257,u515635
u20257,u518647
u20257,u518868
u20257,u525222
u20257,u525643
u20257,u527997
u20257,u532918
u20257,u533478
u20257,u534301
u20257,u536826
u20257,u543372
u20257,u544595
u20257,u547281
u20257,u548513
u20257,u548641
u20257,u549842
u20257,u561652
u20257,u561776
u20257,u562036
u20257,u563061
u20257,u564003
u20257,u568460
u20257,u569212
u20257,u570550
u20257,u571425
u20257,u571524
u20257,u573037
u20257,u573201
u20257,u573469
u20257,u573861
u20257,u575173
u20257,u577560
u20257,u578353
